id,lat,lng,price,currency,days_since_publication,independiente_o_inmobiliaria,area,bathrooms,parking_lots,rooms,antiquity,
56743789,19.2964408,-99.1896261,26000,MN,235,independiente,nan,2,2,2,27,
56516577,19.3890732,-99.2619924,40000,MN,273,inmobiliaria,285,3,3,3,15,
57924413,19.3900507,-99.2421773,110000,MN,44,inmobiliaria,nan,3,3,3,4,
57548534,nan,nan,17500,MN,1,inmobiliaria,75,2,1,2,10,
55230829,19.3663,-99.2682,70000,MN,200,inmobiliaria,468,3,6,3,3,
56658860,19.436056,-99.1977473,23000000,MN,250,inmobiliaria,nan,2,3,2,A estrenar,
54969887,19.43764959,-99.20113224,35000000,MN,nan,inmobiliaria,318,2,4,2,A estrenar,
58183788,19.3804066,-99.17261708,34800,MN,17,inmobiliaria,239,3,3,3,4,
58108055,19.4689049,-99.1547253,15000,MN,23,inmobiliaria,74,2,2,3,A estrenar,
58144041,19.42788038,-99.19922414,54990,MN,21,inmobiliaria,386,2,2,2,38,
57761602,19.4093682,-99.1719095,39000,MN,64,inmobiliaria,130,2,2,2,9,
54959474,19.4263804,-99.1907978,5200,USD,269,inmobiliaria,nan,3,2,3,A estrenar,
57190411,19.4338783,-99.1874176,64846,MN,16,inmobiliaria,nan,2,1,2,A estrenar,
58237452,19.2744257,-99.1498976,16500,MN,10,inmobiliaria,nan,2,2,3,5,
57353915,19.3865465,-99.2575012,90000,MN,141,inmobiliaria,nan,3,4,3,18,
57596832,19.506244,-99.134088,14000,MN,104,inmobiliaria,90,2,0,3,None,
57958004,19.43983266,-99.1913088,17500,MN,43,inmobiliaria,78,1,1,2,None,
52394122,19.3322464,-99.2059098,40000,MN,17,inmobiliaria,nan,3,3,3,2,
54416352,-99.2028656,19.4432263,5500000,MN,nan,inmobiliaria,70,1,1,1,2,
57156553,19.4279743,-99.1936966,7500,USD,118,inmobiliaria,250,2,2,2,2,
57205726,nan,nan,35000,MN,70,inmobiliaria,90,2,2,2,None,
58156352,19.3953037,-99.1783829,5300000,MN,21,inmobiliaria,117,2,1,2,5,
54969887,19.43764959,-99.20113224,35000000,MN,nan,inmobiliaria,318,2,4,2,A estrenar,
56294173,19.4355887,-99.2064672,4750,USD,267,inmobiliaria,nan,3,3,3,A estrenar,
57996518,19.360798,-99.2694851,30000,MN,40,inmobiliaria,nan,2,2,2,11,
58096207,19.38797858,-99.2573498,10000000,MN,28,inmobiliaria,250,2,2,3,18,
58298009,19.3894062,-99.2652038,50000,MN,1,inmobiliaria,320,3,4,3,10,
58210375,19.3803635,-99.1919238,12000,MN,13,inmobiliaria,85,1,1,1,A estrenar,
55458977,19.3904162,-99.2550003,3000000,USD,nan,inmobiliaria,nan,3,5,3,A estrenar,
57078778,19.4014831,-99.2463193,1526000,USD,190,independiente,670,2,9,2,A estrenar,
57447856,19.4227,-99.1553,26500,MN,131,inmobiliaria,100,2,1,2,38,
56510259,19.38022935,-99.15437617,19000,MN,274,inmobiliaria,86,2,2,3,A estrenar,
56238361,19.3667101,-99.1787862,29500,MN,319,independiente,nan,3,2,2,20,
55936722,19.4214687,-99.225289,8500,USD,nan,inmobiliaria,nan,3,4,4,13,
57444302,19.3921848,-99.2649813,34000000,MN,131,inmobiliaria,nan,3,4,3,2,
56965400,19.4249374,-99.2134442,75000,MN,204,inmobiliaria,nan,2,2,2,None,
57374371,19.3904162,-99.2550003,85000,MN,37,independiente,415,3,3,3,20,
57926706,nan,nan,20000,MN,42,inmobiliaria,550,3,0,1,40,
56210844,19.3802939,-99.2432883,28000,MN,324,inmobiliaria,118,2,2,2,1,
56607858,19.3778388,-99.2561363,28500,MN,258,inmobiliaria,nan,2,2,2,A estrenar,
